종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"078930","GS","52100","-700","-1.33","52500","53000","51700","327041","17037754950","4840891193800","92915378"
"006360","GS건설","20900","50","0.24","21000","21250","20750","458710","9617319100","1788653141000","85581490"
"001250","GS글로벌","2770","10","0.36","2760","2785","2750","798373","2214724273","228618526280","82533764"
"007070","GS리테일","17440","10","0.06","17350","17580","17150","276179","4801733915","1458113317600","83607415"
"078935","GS우","47350","350","0.74","47250","47600","46700","11089","521733925","84511511100","1784826"
"499790","GS피앤엘","42650","-150","-0.35","42950","44450","42150","221627","9589481175","845785368650","19830841"
"012630","HDC","22750","-2050","-8.27","24600","24800","22550","309627","7208969950","1359124152750","59741721"
"039570","HDC랩스","9560","10","0.10","9550","9640","9460","16752","159859995","248154665560","25957601"
"089470","HDC현대EP","4140","15","0.36","4115","4160","4105","29157","120419635","132066000000","31900000"
"294870","HDC현대산업개발","23350","-550","-2.30","23850","24050","23200","339398","7951894125","1538936155500","65907330"
"009540","HD한국조선해양","321000","-8000","-2.43","326500","330500","317000","276642","88949382750","22718170236000","70773116"
"267250","HD현대","136200","-1300","-0.95","137200","137500","134500","183786","24974220050","10758858177000","78993085"
"267270","HD현대건설기계","76600","-400","-0.52","77400","77400","76300","64741","4964060400","1352893037400","17661789"
"443060","HD현대마린솔루션","188600","-4800","-2.48","193000","194600","187400","117451","22192634700","8454789006000","44829210"
"071970","HD현대마린엔진","47350","-1900","-3.86","49950","50300","47350","457730","22043626425","1606182788250","33921495"
"010620","HD현대미포","179100","-6500","-3.50","184500","185600","176800","439225","78772689850","7153638885900","39942149"
"322000","HD현대에너지솔루션","44750","1300","2.99","45800","46500","44500","243773","11058894225","501200000000","11200000"
"042670","HD현대인프라코어","11840","-240","-1.99","12000","12020","11830","959923","11446600585","2280277818880","192591032"
"267260","HD현대일렉트릭","442500","-17500","-3.80","461000","463000","439500","209099","93085274500","15950857237500","36047135"
"329180","HD현대중공업","388000","-12500","-3.12","400500","400500","388000","191657","75206062500","34443969008000","88773116"
"097230","HJ중공업","7620","-80","-1.04","7770","7770","7510","583646","4439520610","634550021220","83274281"
"014790","HL D&I","2855","-20","-0.70","2870","2915","2835","86057","246858300","108086305855","37858601"
"003580","HLB글로벌","2755","65","2.42","2820","2845","2750","239662","669750608","138622172390","50316578"
"204320","HL만도","35250","-100","-0.28","35550","35900","35250","251875","8924562125","1655238480000","46957120"
"060980","HL홀딩스","42300","100","0.24","42250","42350","41700","25559","1076852025","397783997100","9403877"
"011200","HMM","25450","750","3.04","24700","25750","24600","3099390","78399634025","26087255173200","1025039496"
"035000","HS애드","8670","180","2.12","8490","8670","8440","20674","176514170","143639436030","16567409"
"002460","HS화성","11680","50","0.43","11530","11680","11530","7007","81606960","118552000000","10150000"
"487570","HS효성","78000","-1800","-2.26","79800","80600","78000","40242","3185640750","290622306000","3725927"
"298050","HS효성첨단소재","214500","4000","1.90","215000","217500","211000","12845","2760886000","960948846000","4479948"
"003560","IHQ","10760","0","0.00","0","0","0","0","0","76220934800","7083730"
"015360","INVENI","65600","200","0.31","65400","66500","65000","6966","455551050","393600000000","6000000"
"175330","JB금융지주","25350","100","0.40","25150","26250","25050","1031956","26318100000","4915567090200","193907972"
"234080","JW생명과학","12760","40","0.31","12710","12860","12640","45185","575319715","202048909040","15834554"
"001060","JW중외제약","22900","-200","-0.87","23150","23200","22700","41327","945479975","533247797000","23285930"
"001067","JW중외제약2우B","63000","-100","-0.16","63000","63000","62500","24","1508700","13228299000","209973"
"001065","JW중외제약우","29600","-50","-0.17","29350","29600","29350","44","1302150","10121749600","341951"
"096760","JW홀딩스","3740","-50","-1.32","3800","3805","3705","74374","278007806","276479283080","73924942"
"105560","KB금융","117300","500","0.43","116800","118300","116800","981697","115269654550","44745504681900","381462103"
"415640","KB발해인프라","8170","70","0.86","8090","8190","8090","71943","585396100","1001197127160","122545548"
"432320","KB스타리츠","4015","10","0.25","4025","4025","3995","68612","275177235","407178354275","101414285"
"002380","KCC","357000","-10000","-2.72","363500","368000","356500","27426","9909099250","3172470147000","8886471"
"344820","KCC글라스","33850","-700","-2.03","34650","34650","33600","62676","2132115375","540601831200","15970512"
"009070","KCTC","6250","360","6.11","5980","6710","5890","8652017","55525521535","187500000000","30000000"
"009440","KC그린홀딩스","756","0","0.00","0","0","0","0","0","17568790596","23239141"
"119650","KC코트렐","918","0","0.00","0","0","0","0","0","100782913662","109785309"
